attack,scheme,n,initstate,initseq,success,attack_ms,checked,table_entries
brute,mh-classic,4,16490336266968443936,132297946315314195,1,0.001653,14,0
brute,mh-classic,4,10905525725756348110,16000682456418926275,1,0.001260,16,0
brute,mh-classic,4,10451216379200822465,244725773053885299,1,0.001028,12,0
brute,mh-classic,6,16490336266968443936,132297946315314195,1,0.003272,62,0
brute,mh-classic,6,10905525725756348110,16000682456418926275,1,0.001880,32,0
brute,mh-classic,6,10451216379200822465,244725773053885299,1,0.003238,60,0
brute,mh-classic,8,16490336266968443936,132297946315314195,1,0.003324,62,0
brute,mh-classic,8,10905525725756348110,16000682456418926275,1,0.008196,160,0
brute,mh-classic,8,10451216379200822465,244725773053885299,1,0.003218,60,0
brute,mh-classic,10,16490336266968443936,132297946315314195,1,0.016719,318,0
brute,mh-classic,10,10905525725756348110,16000682456418926275,1,0.036488,672,0
brute,mh-classic,10,10451216379200822465,244725773053885299,1,0.003327,60,0
brute,mh-classic,12,16490336266968443936,132297946315314195,1,0.077979,1342,0
brute,mh-classic,12,10905525725756348110,16000682456418926275,1,0.234546,3744,0
brute,mh-classic,12,10451216379200822465,244725773053885299,1,0.003369,60,0
brute,mh-classic,14,16490336266968443936,132297946315314195,1,0.948229,13630,0
brute,mh-classic,14,10905525725756348110,16000682456418926275,1,0.824465,11936,0
brute,mh-classic,14,10451216379200822465,244725773053885299,1,0.567719,8252,0
brute,mh-classic,16,16490336266968443936,132297946315314195,1,2.328581,30014,0
brute,mh-classic,16,10905525725756348110,16000682456418926275,1,2.102867,28320,0
brute,mh-classic,16,10451216379200822465,244725773053885299,1,3.105370,41020,0
brute,mh-classic,18,16490336266968443936,132297946315314195,1,2.247273,30014,0
brute,mh-classic,18,10905525725756348110,16000682456418926275,1,7.463356,93856,0
brute,mh-classic,18,10451216379200822465,244725773053885299,1,3.143779,41020,0
brute,mh-classic,20,16490336266968443936,132297946315314195,1,72.763726,816446,0
brute,mh-classic,20,10905525725756348110,16000682456418926275,1,30.310849,356000,0
brute,mh-classic,20,10451216379200822465,244725773053885299,1,50.682306,565308,0
brute,mh-classic,22,16490336266968443936,132297946315314195,1,275.352509,2913598,0
brute,mh-classic,22,10905525725756348110,16000682456418926275,1,30.942882,356000,0
brute,mh-classic,22,10451216379200822465,244725773053885299,1,251.164385,2662460,0
mitm,mh-classic,4,16490336266968443936,132297946315314195,1,0.002304,3,8
mitm,mh-classic,4,10905525725756348110,16000682456418926275,1,0.002244,4,8
mitm,mh-classic,4,10451216379200822465,244725773053885299,1,0.002116,5,8
mitm,mh-classic,8,16490336266968443936,132297946315314195,1,0.005343,23,32
mitm,mh-classic,8,10905525725756348110,16000682456418926275,1,0.005124,19,32
mitm,mh-classic,8,10451216379200822465,244725773053885299,1,0.005300,20,32
mitm,mh-classic,12,16490336266968443936,132297946315314195,1,0.018712,96,128
mitm,mh-classic,12,10905525725756348110,16000682456418926275,1,0.018029,77,128
mitm,mh-classic,12,10451216379200822465,244725773053885299,1,0.019192,126,128
mitm,mh-classic,16,16490336266968443936,132297946315314195,1,0.074229,237,512
mitm,mh-classic,16,10905525725756348110,16000682456418926275,1,0.077676,307,512
mitm,mh-classic,16,10451216379200822465,244725773053885299,1,0.077404,374,512
mitm,mh-classic,20,16490336266968443936,132297946315314195,1,0.343355,1260,2048
mitm,mh-classic,20,10905525725756348110,16000682456418926275,1,0.345230,1215,2048
mitm,mh-classic,20,10451216379200822465,244725773053885299,1,0.356793,1682,2048
mitm,mh-classic,24,16490336266968443936,132297946315314195,1,1.585588,4078,8192
mitm,mh-classic,24,10905525725756348110,16000682456418926275,1,1.605312,6570,8192
mitm,mh-classic,24,10451216379200822465,244725773053885299,1,1.560255,3439,8192
mitm,mh-classic,28,16490336266968443936,132297946315314195,1,7.211748,12551,32768
mitm,mh-classic,28,10905525725756348110,16000682456418926275,1,7.182509,28005,32768
mitm,mh-classic,28,10451216379200822465,244725773053885299,1,7.302475,15101,32768
mitm,mh-classic,32,16490336266968443936,132297946315314195,1,33.328949,64514,131072
mitm,mh-classic,32,10905525725756348110,16000682456418926275,1,33.786297,95492,131072
mitm,mh-classic,32,10451216379200822465,244725773053885299,1,33.566045,45457,131072
mitm,mh-classic,36,16490336266968443936,132297946315314195,1,154.237150,163649,524288
mitm,mh-classic,36,10905525725756348110,16000682456418926275,1,153.216344,271278,524288
mitm,mh-classic,36,10451216379200822465,244725773053885299,1,149.836032,88878,524288
mitm,mh-classic,40,16490336266968443936,132297946315314195,1,756.334122,1560396,2097152
mitm,mh-classic,40,10905525725756348110,16000682456418926275,1,737.738336,1170422,2097152
mitm,mh-classic,40,10451216379200822465,244725773053885299,1,749.723229,509422,2097152
