scheme,n,reps,warmup_reps,initstate,initseq,keygen_ms,encrypt_ms,decrypt_ms,total_ms,delta_max,margin_bound,margin,sum_bits,density
mh-classic,128,5,3,16490336266968443936,132297946315314195,0.014523,0.000456,0.001157,0.016137,64,8192,811,134,0.955224
mh-classic,128,5,3,10905525725756348110,16000682456418926275,0.014491,0.000544,0.001129,0.016163,64,8192,5495,133,0.962406
mh-classic,128,5,3,10451216379200822465,244725773053885299,0.014649,0.000442,0.001058,0.016148,64,8192,6028,134,0.955224
mh-classic,256,5,3,16490336266968443936,132297946315314195,0.043401,0.001064,0.002437,0.046902,64,16384,15894,262,0.977099
mh-classic,256,5,3,10905525725756348110,16000682456418926275,0.037625,0.001042,0.002190,0.040857,64,16384,7990,261,0.980843
mh-classic,256,5,3,10451216379200822465,244725773053885299,0.038226,0.000983,0.002270,0.041479,64,16384,10484,262,0.977099
mh-classic,512,5,3,16490336266968443936,132297946315314195,0.099477,0.002869,0.005003,0.107349,64,32768,19740,518,0.988417
mh-classic,512,5,3,10905525725756348110,16000682456418926275,0.099561,0.002770,0.004994,0.107324,64,32768,23135,517,0.990329
mh-classic,512,5,3,10451216379200822465,244725773053885299,0.122742,0.002967,0.005414,0.131123,64,32768,7977,518,0.988417
mh-classic,1024,5,3,16490336266968443936,132297946315314195,0.379123,0.008234,0.011799,0.399157,64,65536,25660,1030,0.994175
mh-classic,1024,5,3,10905525725756348110,16000682456418926275,0.361575,0.008371,0.011763,0.381709,64,65536,13139,1029,0.995141
mh-classic,1024,5,3,10451216379200822465,244725773053885299,0.364973,0.007954,0.011720,0.384648,64,65536,27042,1030,0.994175
mh-classic,2048,5,3,16490336266968443936,132297946315314195,1.916148,0.023687,0.026834,1.966669,64,131072,4370,2054,0.997079
mh-classic,2048,5,3,10905525725756348110,16000682456418926275,1.779642,0.024360,0.026758,1.830760,64,131072,35754,2053,0.997565
mh-classic,2048,5,3,10451216379200822465,244725773053885299,1.784896,0.024517,0.026781,1.836194,64,131072,124747,2054,0.997079
mh-classic,4096,5,3,16490336266968443936,132297946315314195,10.954930,0.090584,0.074255,11.119768,64,262144,186367,4102,0.998537
mh-classic,4096,5,3,10905525725756348110,16000682456418926275,10.813944,0.084723,0.071154,10.969821,64,262144,41675,4101,0.998781
mh-classic,4096,5,3,10451216379200822465,244725773053885299,10.814833,0.081832,0.072560,10.969225,64,262144,179685,4102,0.998537
mh-permuted,128,5,3,16490336266968443936,132297946315314195,0.016744,0.000466,0.001294,0.018504,64,8192,811,134,0.955224
mh-permuted,128,5,3,10905525725756348110,16000682456418926275,0.016461,0.000558,0.001232,0.018250,64,8192,5495,133,0.962406
mh-permuted,128,5,3,10451216379200822465,244725773053885299,0.016756,0.000450,0.001167,0.018374,64,8192,6028,134,0.955224
mh-permuted,256,5,3,16490336266968443936,132297946315314195,0.049217,0.001171,0.002701,0.053088,64,16384,15894,262,0.977099
mh-permuted,256,5,3,10905525725756348110,16000682456418926275,0.043339,0.001073,0.002481,0.046892,64,16384,7990,261,0.980843
mh-permuted,256,5,3,10451216379200822465,244725773053885299,0.041800,0.001007,0.002448,0.045255,64,16384,10484,262,0.977099
mh-permuted,512,5,3,16490336266968443936,132297946315314195,0.111133,0.002905,0.005565,0.119604,64,32768,19740,518,0.988417
mh-permuted,512,5,3,10905525725756348110,16000682456418926275,0.109685,0.002888,0.005483,0.118055,64,32768,23135,517,0.990329
mh-permuted,512,5,3,10451216379200822465,244725773053885299,0.134387,0.003043,0.005722,0.143152,64,32768,7977,518,0.988417
mh-permuted,1024,5,3,16490336266968443936,132297946315314195,0.403903,0.008415,0.012761,0.425079,64,65536,25660,1030,0.994175
mh-permuted,1024,5,3,10905525725756348110,16000682456418926275,0.384220,0.008844,0.012819,0.405883,64,65536,13139,1029,0.995141
mh-permuted,1024,5,3,10451216379200822465,244725773053885299,0.388808,0.008767,0.012883,0.410458,64,65536,27042,1030,0.994175
mh-permuted,2048,5,3,16490336266968443936,132297946315314195,1.979533,0.024520,0.029008,2.033061,64,131072,4370,2054,0.997079
mh-permuted,2048,5,3,10905525725756348110,16000682456418926275,1.850812,0.023731,0.029246,1.903789,64,131072,35754,2053,0.997565
mh-permuted,2048,5,3,10451216379200822465,244725773053885299,1.937079,0.023925,0.028864,1.989869,64,131072,124747,2054,0.997079
mh-permuted,4096,5,3,16490336266968443936,132297946315314195,11.982416,0.087714,0.072408,12.142539,64,262144,186367,4102,0.998537
mh-permuted,4096,5,3,10905525725756348110,16000682456418926275,11.857873,0.086564,0.072071,12.016508,64,262144,41675,4101,0.998781
