scheme,n,reps,warmup_reps,initstate,initseq,keygen_ms,encrypt_ms,decrypt_ms,total_ms,delta_max,margin_bound,margin,sum_bits,density
mh-classic,128,5,3,16490336266968443936,132297946315314195,0.014542,0.000490,0.001108,0.016140,64,8192,811,134,0.955224
mh-classic,128,5,3,10905525725756348110,16000682456418926275,0.014612,0.000559,0.001160,0.016331,64,8192,5495,133,0.962406
mh-classic,128,5,3,10451216379200822465,244725773053885299,0.014603,0.000444,0.001057,0.016103,64,8192,6028,134,0.955224
mh-classic,256,5,3,16490336266968443936,132297946315314195,0.043533,0.001029,0.002380,0.046942,64,16384,15894,262,0.977099
mh-classic,256,5,3,10905525725756348110,16000682456418926275,0.037691,0.001013,0.002274,0.040978,64,16384,7990,261,0.980843
mh-classic,256,5,3,10451216379200822465,244725773053885299,0.037194,0.000974,0.002264,0.040431,64,16384,10484,262,0.977099
mh-classic,512,5,3,16490336266968443936,132297946315314195,0.099454,0.002868,0.005043,0.107364,64,32768,19740,518,0.988417
mh-classic,512,5,3,10905525725756348110,16000682456418926275,0.098529,0.002847,0.006009,0.107385,64,32768,23135,517,0.990329
mh-classic,512,5,3,10451216379200822465,244725773053885299,0.123408,0.003044,0.005540,0.131992,64,32768,7977,518,0.988417
mh-classic,1024,5,3,16490336266968443936,132297946315314195,0.379206,0.008207,0.011777,0.399190,64,65536,25660,1030,0.994175
mh-classic,1024,5,3,10905525725756348110,16000682456418926275,0.372690,0.009233,0.011908,0.393832,64,65536,13139,1029,0.995141
mh-classic,1024,5,3,10451216379200822465,244725773053885299,0.379670,0.008304,0.012216,0.400190,64,65536,27042,1030,0.994175
mh-classic,2048,5,3,16490336266968443936,132297946315314195,2.031238,0.025519,0.028650,2.085407,64,131072,4370,2054,0.997079
mh-classic,2048,5,3,10905525725756348110,16000682456418926275,1.898566,0.025186,0.028250,1.952002,64,131072,35754,2053,0.997565
mh-classic,2048,5,3,10451216379200822465,244725773053885299,1.918136,0.025174,0.028429,1.971738,64,131072,124747,2054,0.997079
mh-classic,4096,5,3,16490336266968443936,132297946315314195,10.940003,0.093116,0.071873,11.104992,64,262144,186367,4102,0.998537
mh-classic,4096,5,3,10905525725756348110,16000682456418926275,10.912134,0.085351,0.071878,11.069362,64,262144,41675,4101,0.998781
mh-classic,4096,5,3,10451216379200822465,244725773053885299,10.833965,0.089082,0.072821,10.995869,64,262144,179685,4102,0.998537
mh-permuted,128,5,3,16490336266968443936,132297946315314195,0.016699,0.000477,0.001244,0.018420,64,8192,811,134,0.955224
mh-permuted,128,5,3,10905525725756348110,16000682456418926275,0.016517,0.000564,0.001280,0.018361,64,8192,5495,133,0.962406
mh-permuted,128,5,3,10451216379200822465,244725773053885299,0.016767,0.000446,0.001207,0.018420,64,8192,6028,134,0.955224
mh-permuted,256,5,3,16490336266968443936,132297946315314195,0.049969,0.001166,0.002681,0.053816,64,16384,15894,262,0.977099
mh-permuted,256,5,3,10905525725756348110,16000682456418926275,0.051257,0.001401,0.002764,0.055422,64,16384,7990,261,0.980843
mh-permuted,256,5,3,10451216379200822465,244725773053885299,0.043214,0.001013,0.002539,0.046766,64,16384,10484,262,0.977099
