layers,extra_layers,scheme,n,reps,warmup_reps,initstate,initseq,keygen_ms,encrypt_ms,decrypt_ms,total_ms,delta_max,margin_bound,margin,sum_bits,density
2,1,mh-iterated,128,5,3,16490336266968443936,132297946315314195,0.027400,0.000200,0.000800,0.028400,64,8192,811,134,0.914286
2,1,mh-iterated,128,5,3,10905525725756348110,16000682456418926275,0.027000,0.000400,0.001000,0.028400,64,8192,5495,133,0.920863
2,1,mh-iterated,128,5,3,10451216379200822465,244725773053885299,0.033000,0.000400,0.001000,0.034400,64,8192,6028,134,0.914286
2,1,mh-iterated,256,5,3,16490336266968443936,132297946315314195,0.084000,0.001200,0.002200,0.087400,64,16384,15894,262,0.951673
2,1,mh-iterated,256,5,3,10905525725756348110,16000682456418926275,0.074400,0.000800,0.002400,0.077600,64,16384,7990,261,0.955224
2,1,mh-iterated,256,5,3,10451216379200822465,244725773053885299,0.078600,0.001000,0.002000,0.081600,64,16384,10484,262,0.951673
2,1,mh-iterated,512,5,3,16490336266968443936,132297946315314195,0.246000,0.002200,0.004400,0.252600,64,32768,19740,518,0.973384
2,1,mh-iterated,512,5,3,10905525725756348110,16000682456418926275,0.258800,0.002800,0.004000,0.265600,64,32768,23135,517,0.975238
2,1,mh-iterated,512,5,3,10451216379200822465,244725773053885299,0.279400,0.002200,0.005200,0.286800,64,32768,7977,518,0.973384
2,1,mh-iterated,1024,5,3,16490336266968443936,132297946315314195,1.279000,0.008800,0.012200,1.300000,64,65536,25660,1030,0.985563
2,1,mh-iterated,1024,5,3,10905525725756348110,16000682456418926275,1.041200,0.007400,0.010200,1.058800,64,65536,13139,1029,0.986513
2,1,mh-iterated,1024,5,3,10451216379200822465,244725773053885299,0.909600,0.005800,0.009400,0.924800,64,65536,27042,1030,0.985563
2,1,mh-iterated,2048,5,3,16490336266968443936,132297946315314195,4.805800,0.021600,0.031200,4.858600,64,131072,4370,2054,0.992248
