sweep,scheme,n,reps,warmup_reps,initstate,initseq,keygen_ms,encrypt_ms,decrypt_ms,total_ms,delta_max,margin_bound,margin,sum_bits,density
delta,mh-classic,128,10,3,16490336266968443936,132297946315314195,0.015987,0.000551,0.001238,0.017775,1,8192,811,128,1.000000
delta,mh-classic,128,10,3,10905525725756348110,16000682456418926275,0.016226,0.002346,0.001173,0.019744,1,8192,5495,128,1.000000
delta,mh-classic,128,10,3,10451216379200822465,244725773053885299,0.015286,0.000482,0.001093,0.016860,1,8192,6028,128,1.000000
delta,mh-classic,256,10,3,16490336266968443936,132297946315314195,0.035597,0.001116,0.002275,0.038989,1,16384,15894,256,1.000000
delta,mh-classic,256,10,3,10905525725756348110,16000682456418926275,0.034529,0.001097,0.002200,0.037826,1,16384,7990,256,1.000000
delta,mh-classic,256,10,3,10451216379200822465,244725773053885299,0.034908,0.001035,0.002272,0.038215,1,16384,10484,256,1.000000
delta,mh-classic,512,10,3,16490336266968443936,132297946315314195,0.102894,0.003142,0.005276,0.111312,1,32768,19740,512,1.000000
delta,mh-classic,512,10,3,10905525725756348110,16000682456418926275,0.112611,0.003446,0.005325,0.121382,1,32768,23135,512,1.000000
delta,mh-classic,512,10,3,10451216379200822465,244725773053885299,0.101927,0.002998,0.005150,0.110074,1,32768,7977,512,1.000000
delta,mh-classic,1024,10,3,16490336266968443936,132297946315314195,0.361817,0.010154,0.011926,0.383898,1,65536,25660,1024,1.000000
delta,mh-classic,1024,10,3,10905525725756348110,16000682456418926275,0.354763,0.009810,0.012050,0.376623,1,65536,13139,1024,1.000000
delta,mh-classic,1024,10,3,10451216379200822465,244725773053885299,0.355021,0.009711,0.011997,0.376729,1,65536,27042,1024,1.000000
delta,mh-classic,2048,10,3,16490336266968443936,132297946315314195,1.777470,0.028468,0.028358,1.834295,1,131072,4370,2048,1.000000
delta,mh-classic,2048,10,3,10905525725756348110,16000682456418926275,1.781639,0.027255,0.027073,1.835966,1,131072,35754,2048,1.000000
delta,mh-classic,2048,10,3,10451216379200822465,244725773053885299,1.839854,0.027160,0.027477,1.894491,1,131072,124747,2048,1.000000
delta,mh-classic,4096,10,3,16490336266968443936,132297946315314195,11.187142,0.091773,0.070427,11.349342,1,262144,186367,4096,1.000000
delta,mh-classic,4096,10,3,10905525725756348110,16000682456418926275,10.712256,0.087520,0.070078,10.869854,1,262144,41675,4096,1.000000
delta,mh-classic,4096,10,3,10451216379200822465,244725773053885299,10.968169,0.091123,0.072682,11.131974,1,262144,179685,4096,1.000000
delta,mh-classic,128,10,3,16490336266968443936,132297946315314195,0.014834,0.000508,0.001182,0.016523,2,8192,811,129,0.992248
delta,mh-classic,128,10,3,10905525725756348110,16000682456418926275,0.014959,0.000524,0.001139,0.016622,2,8192,5495,129,0.992248
delta,mh-classic,128,10,3,10451216379200822465,244725773053885299,0.014578,0.000434,0.001059,0.016070,2,8192,6028,129,0.992248
delta,mh-classic,256,10,3,16490336266968443936,132297946315314195,0.039031,0.001080,0.002389,0.042499,2,16384,15894,257,0.996109
delta,mh-classic,256,10,3,10905525725756348110,16000682456418926275,0.044633,0.001145,0.002357,0.048135,2,16384,7990,257,0.996109
delta,mh-classic,256,10,3,10451216379200822465,244725773053885299,0.035868,0.001424,0.002258,0.039550,2,16384,10484,257,0.996109
delta,mh-classic,512,10,3,16490336266968443936,132297946315314195,0.103733,0.002789,0.005345,0.111866,2,32768,19740,513,0.998051
delta,mh-classic,512,10,3,10905525725756348110,16000682456418926275,0.103140,0.002884,0.005198,0.111222,2,32768,23135,513,0.998051
delta,mh-classic,512,10,3,10451216379200822465,244725773053885299,0.103120,0.002988,0.005679,0.111787,2,32768,7977,513,0.998051
delta,mh-classic,1024,10,3,16490336266968443936,132297946315314195,0.371737,0.009732,0.011714,0.393183,2,65536,25660,1025,0.999024
